colA,colB,colC
Keig,34435454475,2
Onraet,74640104823,
Shearwood,63963107510,55
Cuseck,53336008246,34
Ivanusyev,63490778091,41
Randalston,84599858634,42
Whewill,45786426297,82
MacKaile,31107923906,74
Petters,,24
Corstan,16450616464,100
Kornilov,44761352112,82
Brisset,19471389383,98
Antonowicz,85356714874,36
Di Pietro,87980717602,63
Shayes,39818821344,44
De Dei,66062855020,56
Evelyn,46868640125,86
Chamney,93075950330,48
Stringer,89758786176,20
Harflete,41782626259,26
Tangye,46234471136,43
Garrat,88517608732,48
McCoole,72727390760,56
Badsworth,42308269085,66
Woolner,29199050174,46
Ondracek,15350083438,25
Stoltz,92404261299,36
Haggerty,39237625684,78
Clarage,77787792555,
,42513181831,78
Pearton,45228976488,65
Leslie,99239612893,23
Lightman,35060113923,77
Nunes Nabarro,66973781726,49
Killner,66397231415,50
Kaesmakers,63653187237,35
Mitchelmore,24736193227,92
Geeritz,13783127738,75
Toffolo,43458088781,80
Dearnaly,09111362313,17
Brockhouse,74105339035,84
Pallatina,74767219095,96
Swash,97841330235,29
McCallister,60624146752,56
Gabbitas,44884058367,69
Ion,23118846100,86
Fattorini,85568850175,80
Tildesley,33177352556,75
Clymo,48483291527,81
Canceller,64755065388,34
Cuseck,53336008246,34
